Control,Cost,Fidelity,Sx,Sy,Sz
-4.000000000,2.395530326,0.440273046,-2.249790926,1.068637708,1.633120044
-4.000000000,2.883303957,0.395405033,-2.009121419,1.908610155,1.026229684
4.000000000,1.154896298,0.539440592,-1.721924904,1.601609460,1.737900225
-4.000000000,1.803772692,0.489181758,-1.401605944,2.341629725,0.934508032
4.000000000,-0.284409659,0.638768220,-1.054685318,1.924410482,1.799874337
4.000000000,-2.004667241,0.729589182,-0.769047545,1.182346493,2.430206918
4.000000000,-2.785029668,0.742841932,-0.639358110,0.247157439,2.719564358
4.000000000,-2.423467921,0.673844742,-0.699107075,-0.703833740,2.625390476
4.000000000,-1.170756871,0.533497658,-0.906908098,-1.498016030,2.177067410
-4.000000000,-1.511434641,0.575732308,-1.075056713,-0.318242521,2.546260822
4.000000000,-0.775760709,0.491273261,-1.197163617,-1.050530395,2.267890430
-4.000000000,-0.920978521,0.503264973,-1.268869397,0.173063294,2.446411922
-4.000000000,-0.675269317,0.485403477,-1.147560111,1.359751830,2.134283751
4.000000000,-1.694248703,0.584451411,-0.978351247,0.637034967,2.539924054
-4.000000000,-1.268229678,0.538754016,-0.768014336,1.763087758,2.051779741
4.000000000,-2.740505372,0.685489268,-0.523700807,0.963826372,2.606554925
-4.000000000,-2.193885682,0.634405567,-0.253774199,1.999994090,2.004175114
-4.000000000,-1.465289272,0.564470420,0.106916941,2.670333121,1.055409074
4.000000000,-3.667638361,0.757922758,0.472640074,2.029850604,2.011490713
4.000000000,-5.321594544,0.879000313,0.746977387,0.986802727,2.625993468
-4.000000000,-4.808121601,0.842932518,1.000747644,1.788211029,2.062549265
4.000000000,-6.143361399,0.934677095,1.222196142,0.650622394,2.559560094
-4.000000000,-5.772366317,0.909622943,1.405605269,1.369717963,2.149501846
-4.000000000,-5.236451159,0.871838282,1.671024006,1.856550986,1.495103031
4.000000000,-6.533980469,0.963525646,1.886338339,0.840316535,2.044737068
-4.000000000,-6.209312880,0.940108595,2.047449996,1.251446021,1.620908408
4.000000000,-6.803782750,0.986939161,2.146139054,0.178670702,1.912553980
